"ROW_ID","ROW_VERSION","pmcid","synid","context"
"143","16","pmc:PMC10175463","syn3388564","can be found on synapse (syn3388564). In summary, phase one"
"144","16","pmc:PMC10178328","syn2320105","2 mRNA data (Synapse ID: syn2320105), including 534 tumor sa"
"145","16","pmc:PMC10178328","syn2320105","ww.synapse.org/#!Synapse:syn2320105 (accessed on 22 April 20"
"146","16","pmc:PMC10178328","syn2320105","xpressed Genes DEGs from syn2320105 were calculated by apply"
"147","16","pmc:PMC10182086","syn7170616","ww.synapse.org/#!Synapse:syn7170616 ), ROS/MAP ( https://www"
"148","16","pmc:PMC10182086","syn3219045","ww.synapse.org/#!Synapse:syn3219045 ), UPP ( https://www.syn"
"149","16","pmc:PMC10182086","syn17009177","ww.synapse.org/#!Synapse:syn17009177 ), and BLSA ( https://ww"
"150","16","pmc:PMC10182086","syn3606086","ww.synapse.org/#!Synapse:syn3606086 ). UniProtKB (2022_01) d"
"151","16","pmc:PMC10183026","syn8484987","ase under accession code syn8484987, syn8466812, syn8456629."
"152","16","pmc:PMC10183026","syn8466812","cession code syn8484987, syn8466812, syn8456629. The EAML ca"
"153","16","pmc:PMC10183026","syn8456629","syn8484987, syn8466812, syn8456629. The EAML candidates’ ge"
"154","16","pmc:PMC10185548","syn3163039","cortex RNAseq data (id: syn3163039) and genome-wide genotyp"
"155","16","pmc:PMC10185548","syn8650953","-wide genotype data (id: syn8650953) were downloaded from th"
"156","16","pmc:PMC10185548","syn2580853","Synapse.org (doi:10.7303/syn2580853). The ROSMAP dorsolatera"
"157","16","pmc:PMC10185548","syn4164376","cortex RNAseq data (id: syn4164376), genotypes (id: syn3157"
"158","16","pmc:PMC10185548","syn3157325","4164376), genotypes (id: syn3157325), and clinical covariate"
"159","16","pmc:PMC10185548","syn3191087","clinical covariates (id: syn3191087) were downloaded from Sy"
"160","16","pmc:PMC10185548","syn2580853","Synapse.org (doi:10.7303/syn2580853) with the following acce"
"161","16","pmc:PMC10185548","syn3163039","oral cortex RNAseq data (syn3163039), MAYO genome-wide genot"
"162","16","pmc:PMC10185548","syn8650953","nome-wide genotype data (syn8650953), ROSMAP DLPFC RNAseq da"
"163","16","pmc:PMC10185548","syn4164376","OSMAP DLPFC RNAseq data (syn4164376), ROSMAP genotypes (syn3"
"164","16","pmc:PMC10185548","syn3157325","4376), ROSMAP genotypes (syn3157325), and ROSMAP clinical co"
"165","16","pmc:PMC10185548","syn3191087","MAP clinical covariates (syn3191087). Requests for ROSMAP da"
"166","16","pmc:PMC10185676","syn17010685","ww.synapse.org/#!Synapse:syn17010685 , but an access request"
"167","16","pmc:PMC10186610","syn18485175","tal) 24 24 Accession No: syn18485175 (AD Knowledge Portal) Fe"
"168","16","pmc:PMC10186610","syn18485175","e with accession number: syn18485175 (Mathys et al., 2019 )."
"169","16","pmc:PMC10186610","syn3157322","ww.synapse.org/#!Synapse:syn3157322 , deposited by Mathys et"
"170","16","pmc:PMC10186603","syn3219045","pse server, accession ID syn3219045), NABEC (dbGaP server, a"
"171","16","pmc:PMC10190536","syn2374375","downloaded from Synapse (syn2374375, https://www.synapse.org"
"172","16","pmc:PMC10190536","syn2374375","ing levels from Synapse (syn2374375) were collected. The edi"
"173","16","pmc:PMC10196687","syn3219045","tudy on synapse.org (ID: syn3219045) ( 87 ). We found that 6"
"174","16","pmc:PMC10197798","syn2759792","ttp://dx.doi.org/10.7303/syn2759792 . The SHIP-Trend study g"
"175","16","pmc:PMC10202958","syn25683365","ium (Synapse accession “ syn25683365 ”). Compared to the ONT"
"176","16","pmc:PMC10202958","syn25683629","ASP (Synapse accession “ syn25683629 ”). Two mouse samples fr"
"177","16","pmc:PMC10202958","syn25683365","Synapse with accession “ syn25683365 ”. The GENCODE VM27-base"
"178","16","pmc:PMC10202958","syn25683629","Synapse with accession “ syn25683629 ”. The sequencing data f"
"179","16","pmc:PMC10213211","syn18485175","Safaiyan et al., 2021 ), syn18485175 (Mathys et al., 2019 ),"
"180","16","pmc:PMC10213211","syn24168322","(Mathys et al., 2019 ), syn24168322, syn16780177, syn1251462"
"181","16","pmc:PMC10213211","syn16780177","l., 2019 ), syn24168322, syn16780177, syn12514624, syn2167083"
"182","16","pmc:PMC10213211","syn12514624","yn24168322, syn16780177, syn12514624, syn21670836, and syn237"
"183","16","pmc:PMC10213211","syn21670836","yn16780177, syn12514624, syn21670836, and syn23763501. There"
"184","16","pmc:PMC10213211","syn23763501","514624, syn21670836, and syn23763501. There are seven mice st"
"185","16","pmc:PMC10213211","syn23763501","ouse), respectively. The syn23763501 project performed scRNA-"
"186","16","pmc:PMC10213211","syn24168322","D prefrontal cortex. The syn24168322, syn16780177, syn1251462"
"187","16","pmc:PMC10213211","syn16780177","cortex. The syn24168322, syn16780177, syn12514624, syn1848517"
"188","16","pmc:PMC10213211","syn12514624","yn24168322, syn16780177, syn12514624, syn18485175, and syn216"
"189","16","pmc:PMC10213211","syn18485175","yn16780177, syn12514624, syn18485175, and syn21670836 project"
"190","16","pmc:PMC10213211","syn21670836","514624, syn18485175, and syn21670836 projects provide scRNA-s"
"191","16","pmc:PMC10213211","syn21670836","C_Prefrontalcortex_mice, syn21670836_DorsolateralPrefrontalCo"
"192","16","pmc:PMC10213211","syn24168322","lPrefrontalCortex_human, syn24168322_DorsolateralPrefrontalCo"
"193","16","pmc:PMC10213211","syn18485175","lPrefrontalCortex_human, syn18485175_DorsolateralPrefrontalCo"
"194","16","pmc:PMC10213211","syn23763501","lPrefrontalCortex_human, syn23763501_WholeBrain_mice, syn1678"
"195","16","pmc:PMC10213211","syn16780177","3763501_WholeBrain_mice, syn16780177_DorsolateralPrefrontalCo"
"196","16","pmc:PMC10213211","syn12514624","lPrefrontalCortex_human, syn12514624_DorsolateralPrefrontalCo"
"197","16","pmc:PMC10226446","syn25875374","ww.synapse.org/#!Synapse:syn25875374/wiki/ (2022). 20. Lin, Z"
"198","16","pmc:PMC10229139","syn21041850","Lung Cell Atlas Synapase syn21041850 Elyahu Y 2019 Study: Agi"
"199","16","pmc:PMC10229139","syn21041850","w.synapse.org/ #!Synapse:syn21041850 Synapase, syn21041850 Tr"
"200","16","pmc:PMC10229139","syn21041850","se:syn21041850 Synapase, syn21041850 Travaglini et al., 2020"
"201","16","pmc:PMC10229758","syn6131484","ge. Synapse. doi:10.7303/syn6131484. 27 Libbrecht M.W. Noble"
"202","16","pmc:PMC10231934","syn27023828","w.synapse.org/ #!Synapse:syn27023828) and a comprehensive ana"
"203","16","pmc:PMC10233303","syn23301293","www.synapse.org (SynID: syn23301293, syn25006620 and syn3174"
"204","16","pmc:PMC10233303","syn25006620","org (SynID: syn23301293, syn25006620 and syn31749523). The id"
"205","16","pmc:PMC10233303","syn31749523","3301293, syn25006620 and syn31749523). The identified and qua"
"206","16","pmc:PMC10236395","syn50877085","ww.synapse.org/#!Synapse:syn50877085 ; 10.7303/syn50877085) 2"
"207","16","pmc:PMC10236395","syn50877085","se:syn50877085 ; 10.7303/syn50877085) 21 and CIRCA COVID-19 C"
"208","16","pmc:PMC10236395","syn50877085","se:syn50877085 ; 10.7303/syn50877085) 21 and the CIRCA COVID-"
"209","16","pmc:PMC10236395","syn50877085","se:syn50877085 ; 10.7303/syn50877085) 21 . However, anyone ca"
"210","16","pmc:PMC10236395","syn50877085","20–2021) Synapse 10.7303/syn50877085 22. Hubert M Van der Vee"
"211","16","pmc:PMC10238095","syn2623706","ww.synapse.org/#!Synapse:syn2623706 ). Tumor neoantigen sign"
"212","16","pmc:PMC10239491","syn7222066","ww.synapse.org/#!Synapse:syn7222066/wiki/405659 . Data for t"
"213","16","pmc:PMC10242325","syn12009743","ures V3, synapse.org ID: syn12009743) and from Li et al. 19 2"
"214","16","pmc:PMC10245417","syn5613802","ww.synapse.org/#!Synapse:syn5613802 . Differential acetylate"
"215","16","pmc:PMC10245417","syn5613802","ww.synapse.org/#!Synapse:syn5613802 , and reads in peaks def"
"216","16","pmc:PMC10246028","syn16780177","irst dataset ( BA9 , ID: syn16780177) consisted of 24 subject"
"217","16","pmc:PMC10246028","syn18485175","ond dataset ( BA10 , ID: syn18485175) consisted of 48 subject"
"218","16","pmc:PMC10246028","syn21670836","d dataset ( BA9-46 , ID: syn21670836) consisted of 32 subject"
"219","16","pmc:PMC10246028","syn12514624","aset ( BA9-46-Micro, ID: syn12514624) was a microglia only da"
"220","16","pmc:PMC10246028","syn3157322","AD knowledge portal (ID: syn3157322). The variable cogdx was"
"221","16","pmc:PMC10246227","syn26223298","Bionetworks (accession: syn26223298 ). Nuclei by gene matric"
"222","16","pmc:PMC10246587","syn21048999",".synapse.org/#! Synapse: syn21048999/wiki/603788 ). Reference"
"223","16","pmc:PMC10257663","syn51239112","ailable under Synapse ID syn51239112 . Specifically, the AU56"
"224","16","pmc:PMC10257663","syn51239569","ailable under Synapse ID syn51239569 . Cell cycle durations i"
"225","16","pmc:PMC10257663","syn51359628","ailable under Synapse ID syn51359628 . AU565 drug combination"
"226","16","pmc:PMC10257663","syn51239601","ailable under Synapse ID syn51239601 . HCC1143 single drug tr"
"227","16","pmc:PMC10257663","syn51239126","ailable under Synapse ID syn51239126 . 21MT1 single drug trea"
"228","16","pmc:PMC10257663","syn51239113","ailable under Synapse ID syn51239113 . MDAMB157 single drug t"
"229","16","pmc:PMC10257663","syn51239135","ailable under Synapse ID syn51239135 . The live-cell image da"
"230","16","pmc:PMC10258469","syn35874390","are available in Synapse syn35874390 found here. Access to th"
"231","16","pmc:PMC10258469","syn35874390","Synapse data repository syn35874390. The validation cohort i"
"232","16","pmc:PMC10258469","syn35874390","Synapse data repository syn35874390. Source Data for b are p"
"233","16","pmc:PMC10258469","syn35874390","data matrix provided in syn35874390 but filtered for the 62"
"234","16","pmc:PMC10258469","syn35874390","le in Synapse repository syn35874390. Synapse can be accessed"
"235","16","pmc:PMC10258469","syn35874390","ww.synapse.org/#!Synapse:syn35874390. . Code availability Cod"
"236","16","pmc:PMC10259480","syn35798807","https://doi.org/10.7303/syn35798807.1 . The following datase"
"237","16","pmc:PMC10259480","syn35798807","and glia Synapse 10.7303/syn35798807.1 The following previous"
"238","16","pmc:PMC10259480","syn18485175","0) Study Synapse 10.7303/syn18485175 Grubman, et al 2019 A si"
"239","16","pmc:PMC10259480","syn7274101","auopathy Synapse 10.7303/syn7274101 Van de Sande B 2020 pySC"
"240","16","pmc:PMC10267126","syn43685982","ognition Synapse 10.7303/syn43685982.2 52. Behnke, M., Buchwa"
"241","16","pmc:PMC10272561","syn18485175","om the Synapse database (syn18485175). Table 1 Public transcr"
"242","16","pmc:PMC10272561","syn18485175","and neuron percentage in syn18485175 snRNA-seq samples. (D, E"
"243","16","pmc:PMC10272561","syn18485175","ht primary cell types in syn18485175 snRNA-seq. Ex, excitator"
"244","16","pmc:PMC10272561","syn18485175","ww.synapse.org/#!Synapse:syn18485175 . Author contributions S"
"245","16","pmc:PMC10274725","syn26465623","ww.synapse.org/#!Synapse:syn26465623 { Varn, 2022 }. We inclu"
"246","16","pmc:PMC10274943","syn25878459","d Aging Project (ROSMAP- syn25878459) and MAYO (syn26427298)."
"247","16","pmc:PMC10274943","syn26427298","- syn25878459) and MAYO (syn26427298). For CSF, the discovery"
"248","16","pmc:PMC10274943","syn25878459","ww.synapse.org/#!Synapse:syn25878459 ; Metabolomics data from"
"249","16","pmc:PMC10274943","syn26427298","ww.synapse.org/#!Synapse:syn26427298 . References 1. Shin S."
"250","16","pmc:PMC10278156","syn3219045","ww.synapse.org/#!Synapse:syn3219045 ; https://www.synapse.or"
"251","16","pmc:PMC10278156","syn18485175","ww.synapse.org/#!Synapse:syn18485175 ). The program used to a"
"252","16","pmc:PMC10280644","syn3193805","ww.synapse.org/#!Synapse:syn3193805/wiki/218292 ). A total o"
"253","16","pmc:PMC10280644","syn3193805","ww.synapse.org/#!Synapse:syn3193805/files/ . - Image Net: Im"
"254","16","pmc:PMC10280841","syn3388564","ned (Synapse doi:10.7303/syn3388564), and genes with at leas"
"255","16","pmc:PMC10280841","syn3219045","wledgeprotal.synapse.org/syn3219045) and the scRNA-seq datas"
